"NOTA:
* BONO ZAF: Se otorga a los profesionales que adjudiquen una plaza en los Establecimientos de Salud señalados en la Resolución Ministerial N° 544-2014-MINSA y Resolución Ministerial N° 482-2017-DE/MGP.
ANCASH;OBSTETRICIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;RECUAY;HUAYLLAPAMPA;GD-4;00001480;PUESTO DE SALUD HUAYLLAPAMPA;I-1;REGIONAL;NO;NO
ANCASH;ODONTOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CARLOS FERMIN FITZCARRALD;YAUYA;GD-5;00001861;CENTRO DE SALUD YAUYA;I-3;REGIONAL;NO;NO
ANCASH;ODONTOLOGIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;"MARISCAL
LUZURIAGA";CASCA;GD-5;00001785;"PUESTO DE SALUD
CASCA";I-2;REGIONAL;NO;NO
ANCASH;ODONTOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;POMABAMBA;QUINUABAMBA;GD-5;00001781;PUESTO DE SALUD QUINUABAMBA;I-2;REGIONAL;NO;NO
ANCASH;TM - LABORATORIO CLINICO;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;YUNGAY;QUILLO;GD-5;00001738;CENTRO DE SALUD QUILLO;I-4;REGIONAL;NO;NO
APURIMAC;BIOLOGIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;GRAU;HUAILLATI;GD-5;00002599;HUAYLLATI;I-2;REGIONAL;SI;NO
APURIMAC;ENFERMERIA;"SEDE
CENTRAL";1;APURIMAC;"GOBIERNO
REGIONAL";APURIMAC;ABANCAY;ABANCAY;GD-3;00002662;QUISAPATA;I-2;REGIONAL;NO;NO
APURIMAC;ENFERMERIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;ABANCAY;CURAHUASI;GD-4;00002689;CCOCHUA;I-2;REGIONAL;NO;NO
"NOTA:
* BONO ZAF: Se otorga a los profesionales que adjudiquen una plaza en los Establecimientos de Salud señalados en la Resolución Ministerial N° 544-2014-MINSA y Resolución Ministerial N° 482-2017-DE/MGP.
**BONO ZE: Se otorga a los profesionales que adjudican una plaza en los Establecimientos de Salud ubicados en el Valle de los Ríos Apurímac, Ene y Mantaro (VRAEM), en tanto se mantenga dicha calidad de acuerdo a la normatividad vigente; así como a los puestos ubicados en las zonas declaradas en emergencia por circunstancias similares a las del VRAEM, conforme la vigencia de las normas que así los declaren.";;;;;;;;;;;;;;;
"INSTITUCIÓN
OFERTANTE";PROFESIÓN;"SEDE DE
ADJUDICACIÓN";"N°
PLAZAS";DIRESA GERESA DIRIS;INSTITUCIÓN;DEPARTAMENTO;PROVINCIA;DISTRITO;GRADO DE DIFICULTAD;"CÓDIGO
RENIPRESS";NOMBRE DE ESTABLECIMIENTO;CATEGORÍA;PRESUPUESTO;"ZAF
(*)";"ZE
(**)"
